Tiêu đề,Diện tích(m2),Số phòng ngủ,Số phòng WC,Thời gian đăng,Tỉnh/Thành,Quận/Huyện,Hướng nhà,Hướng ban công,Loại nhà,Giá,Link
NHÀ LẦU RẼ NHẤT KHU VỰC TÂN THỚI HIỆP Q12,64.0,,,09/04/2023,TP Hồ Chí Minh,Quận 12,,,Bán Nhà riêng,2.7,https://batdongsan.vn/nha-lau-re-nhat-khu-vuc-tan-thoi-hiep-q12-r277160
NHÀ LẦU RẼ NHẤT KHU VỰC TÂN THỚI HIỆP Q12,64.0,,,09/04/2023,TP Hồ Chí Minh,Quận 12,,,Bán Nhà riêng,2.7,https://batdongsan.vn/nha-lau-re-nhat-khu-vuc-tan-thoi-hiep-q12-r277159
" BIỆT THỰ LIỀN KỀ -Cầu Bươu kinh doanh đỉnh DT 139mx4TxMT8x14,6 ỷ",139.0,4.0,,09/04/2023,Hà Nội,Thanh Trì,,,Bán Nhà mặt phố,14600000.0,https://batdongsan.vn/biet-thu-lien-ke-cau-buou-kinh-doanh-dinh-dt-139mx4txmt8x146-y-r277158
"NHÀ MỚI PHƯỜNG TÂN PHÚ . HXH ,50M2 ,TRỆT , LỬNG . GIÁ 3,6TỶ",50.0,2.0,,09/04/2023,TP Hồ Chí Minh,Quận 9,,,Bán Nhà riêng,3.6,https://batdongsan.vn/nha-moi-phuong-tan-phu-hxh-50m2-tret-lung-gia-36ty-r277156
"NHÀ CỰC HIẾM.CHỈ 3.1 tỷ.CÓ NGAY NHÀ MẶT TIỀN ĐG 13 LINH XUÂN, LÔ GÓC, KHÔNG LỘ GIỚI, KHÔNG",52.0,3.0,2.0,09/04/2023,TP Hồ Chí Minh,Thủ Đức,Nam,Nam,Bán Nhà riêng,3.1,https://batdongsan.vn/nha-cuc-hiemchi-31-tyco-ngay-nha-mat-tien-dg-13-linh-xuan-lo-goc-khong-lo-gioi-khong-r277155
Bán nhà khu vực Cầu Diễn,47.0,2.0,2.0,09/05/2023,Hà Nội,Nam Từ Liêm,Tây-Nam,,Bán Nhà riêng,2500.0,https://batdongsan.vn/ban-nha-khu-vuc-cau-dien-r277152
"B_Á_N nhà Lê Quang Đạo, Gia Đình chuyển đổi nhà to hơn, rất có lộc",39.0,3.0,4.0,09/05/2023,Hà Nội,Nam Từ Liêm,Tây-Bắc,,Bán Nhà riêng,4700.0,https://batdongsan.vn/b-a-n-nha-le-quang-dao-gia-dinh-chuyen-doi-nha-to-hon-rat-co-loc-r277151
BÁN NHÀ 4 TẦNG PHỐ MỸ ĐÌNH,36.0,3.0,4.0,09/05/2023,Hà Nội,Nam Từ Liêm,Đông-Bắc,,Bán Nhà riêng,33500.0,https://batdongsan.vn/ban-nha-4-tang-pho-my-dinh-r277150
"THIẾU VỐN ĐẦU TƯ, CẦN BÁN GẤP NHÀ PHỐ PHƯƠNG CANH – 5 TẦNG",38.0,4.0,5.0,09/05/2023,Hà Nội,Hoài Đức,Đông-Bắc,,Bán Nhà riêng,3000.0,https://batdongsan.vn/thieu-von-dau-tu-can-ban-gap-nha-pho-phuong-canh-5-tang-r277149
"GIẢM SỐC 200 TR, CHỦ CHUYỂN ĐỊNH CƯ SANG MỸ",40.0,3.0,4.0,09/05/2023,Hà Nội,Nam Từ Liêm,Đông-Bắc,,Bán Nhà riêng,3555.56,https://batdongsan.vn/giam-soc-200-tr-chu-chuyen-dinh-cu-sang-my-r277148
"HIẾM, HƠN 3 TỶ, CÓ THƯƠNG LƯỢNG",40.0,4.0,4.0,09/05/2023,Hà Nội,Nam Từ Liêm,Đông-Bắc,,Bán Nhà riêng,3000.0,https://batdongsan.vn/hiem-hon-3-ty-co-thuong-luong-r277147
NHANH KHÔNG HẾT ‼️. NHỈNH 3 TỶ CÓ THƯƠNG LƯỢNG - LỘC LÁ VÃI TỪ CỔNG VÀO ĐẾN NHÀ,66.0,3.0,4.0,09/05/2023,Hà Nội,Nam Từ Liêm,Đông-Bắc,,Bán Nhà riêng,3000.0,https://batdongsan.vn/nhanh-khong-het-nhinh-3-ty-co-thuong-luong-loc-la-vai-tu-cong-vao-den-nha-r277146
"Bán nhà mặt phố Huế, lô góc 25 mặt tiền Kinh doanh Siêu khủng, 75m², ngang 6m, 52 tỷ",75.0,4.0,4.0,09/05/2023,Hà Nội,Hai Bà Trưng,,,Bán Nhà mặt phố,52.0,https://batdongsan.vn/ban-nha-mat-pho-hue-lo-goc-25-mat-tien-kinh-doanh-sieu-khung-75m-ngang-6m-52-ty-r277145
"3,8 TỶ NHÀ HẺM 5M LÊ ĐÌNH CẨN, BÌNH TÂN, 73M2, LH 0948362610",73.0,4.0,2.0,09/01/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,3.8,https://batdongsan.vn/38-ty-nha-hem-5m-le-dinh-can-binh-tan-73m2-lh-0948362610-r277144
"BÁN NHÀ BÌNH TÂN, AN LẠC, GIÁP TÊN LỬA, 70M2, 4 TỶ, LH 0948362610",70.0,3.0,2.0,09/01/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,4.0,https://batdongsan.vn/ban-nha-binh-tan-an-lac-giap-ten-lua-70m2-4-ty-lh-0948362610-r277139
"HĐ thuê 275TR có 118 CHDV Mặt Tiền Trần Thị Cờ, Thới An, Q12, DT:11x54, CN 590m2, 6 tầng",590.0,,,09/01/2023,TP Hồ Chí Minh,Quận 12,,,Bán Nhà,54.0,https://batdongsan.vn/hd-thue-275tr-co-118-chdv-mat-tien-tran-thi-co-thoi-an-q12-dt11x54-cn-590m2-6-tang-r277138
"Bán gấp nhà 2 mt PHAN HUY ÍCH, full nội thất, DT:7,5x13m, KC:3 lầu,10 phòng, GIÁ 13tỷ",90.0,,,09/01/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà,13.0,https://batdongsan.vn/ban-gap-nha-2-mt-phan-huy-ich-full-noi-that-dt75x13m-kc3-lau10-phong-gia-13ty-r277137
"Bán gấp nhà 2 mt PHAN HUY ÍCH, full nội thất, DT:7,5x13m, KC:3 lầu,10 phòng, GIÁ 13tỷ",90.0,,,09/01/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà,13.0,https://batdongsan.vn/ban-gap-nha-2-mt-phan-huy-ich-full-noi-that-dt75x13m-kc3-lau10-phong-gia-13ty-r277136
MẶT TIỀN KINH DOANH -  500M2 GẦN CHỢ HÓC MÔN.,500.0,,,09/01/2023,TP Hồ Chí Minh,Hóc Môn,,,Bán Nhà mặt phố,8.5,https://batdongsan.vn/mat-tien-kinh-doanh-500m2-gan-cho-hoc-mon-r277135
"Cần bán nhà ngõ 1 Bùi Xương Trạch, Quận Thanh Xuân, Hà Nội, ô tô đỗ cửa 45m2, 5 tầng, mặt tiền 5.2m giá 6.6 tỷ",45.0,,,09/01/2023,Hà Nội,Thanh Xuân,,,Bán Nhà riêng,6.6,https://batdongsan.vn/can-ban-nha-ngo-1-bui-xuong-trach-quan-thanh-xuan-ha-noi-o-to-do-cua-45m2-5-tang-mat-tien-52m-gia-66-ty-r277134
"Nhà Đỗ Xuân Hợp, hẻm thông , nở hậu, sân đậu ô tô , chỉ 55tr/m",100.0,2.0,2.0,09/01/2023,TP Hồ Chí Minh,Quận 9,,,Bán Nhà riêng,5.5,https://batdongsan.vn/nha-do-xuan-hop-hem-thong-no-hau-san-dau-o-to-chi-55trm-r277133
CHIA TÀI SẢN CẦN BÁN GẤP NHÀ BẠCH ĐẰNG-BÌNH THẠNH DT KHỦNG 110M2 CHỈ 5 TỶ,110.0,,,09/01/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,5.3,https://batdongsan.vn/chia-tai-san-can-ban-gap-nha-bach-dang-binh-thanh-dt-khung-110m2-chi-5-ty-r277132
Chu Văn An – 40m2 – 2 tầng mới đẹp – giá nhỉnh 4 tỷ.,40.0,,,09/01/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,4.1,https://batdongsan.vn/chu-van-an-40m2-2-tang-moi-dep-gia-nhinh-4-ty-r277131
"RẺ VÔ ĐỊCH, NHÀ KHU PHÂN LÔ 3 TẦNG BTCT 4X14, GẦN TRẠM THU PHÍ AN SƯƠNG AN LẠC- BÌNH TÂN, 3 TỶ 850",56.0,,,09/01/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,3.85,https://batdongsan.vn/re-vo-dich-nha-khu-phan-lo-3-tang-btct-4x14-gan-tram-thu-phi-an-suong-an-lac-binh-tan-3-ty-850-r277128
"P1 Gò Vấp giáp Bình Thạnh, DT 5.5x8m, 2 Tầng, 3.6 tỷ",44.0,2.0,2.0,09/01/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà mặt phố,3600.0,https://batdongsan.vn/p1-go-vap-giap-binh-thanh-dt-55x8m-2-tang-36-ty-r277127
"NHÀ MỚI HẺM ÔTÔ 6M TRUNG TÂM PHƯỜNG 21, BÌNH THẠNH, 2 TẦNG BTCT, 50M2, CHỈ 5.x TỶ",50.0,2.0,2.0,09/02/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,5.7,https://batdongsan.vn/nha-moi-hem-oto-6m-trung-tam-phuong-21-binh-thanh-2-tang-btct-50m2-chi-5x-ty-r277125
"NHÀ MỚI HẺM ÔTÔ 6M TRUNG TÂM PHƯỜNG 21, BÌNH THẠNH, 2 TẦNG BTCT, 50M2, CHỈ 5.x TỶ",50.0,2.0,2.0,09/02/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,5.7,https://batdongsan.vn/nha-moi-hem-oto-6m-trung-tam-phuong-21-binh-thanh-2-tang-btct-50m2-chi-5x-ty-r277124
"Nhà mới 2 tầng, hẻm ô tô cách 2 căn ra mặt tiền Vườn Lài. 4,6 tỷ",44.0,2.0,2.0,09/02/2023,TP Hồ Chí Minh,Tân Phú,,,Bán Nhà riêng,4.6,https://batdongsan.vn/nha-moi-2-tang-hem-o-to-cach-2-can-ra-mat-tien-vuon-lai-46-ty-r277123
". Bán nhà Trần Phú, Hà Đông, ngay gần mặt phố, tiện ích bạt ngàn, 50m2, 5.7 tỷ",50.0,,,09/02/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,5.7,https://batdongsan.vn/ban-nha-tran-phu-ha-dong-ngay-gan-mat-pho-tien-ich-bat-ngan-50m2-57-ty-r277122
"5x14m, 2 Tầng, nhĩnh 4 tỷ, Vincom Quang trung P10 Gò Vấp",55.0,2.0,2.0,09/02/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà mặt phố,4200.0,https://batdongsan.vn/5x14m-2-tang-nhinh-4-ty-vincom-quang-trung-p10-go-vap-r277121
Cần bán nhà phố Chợ Khâm Thiên,32.0,3.0,3.0,09/02/2023,Hà Nội,Đống Đa,Tây-Nam,Tây-Nam,Bán Nhà riêng,2700000000.0,https://batdongsan.vn/can-ban-nha-pho-cho-kham-thien-r277120
"NHÀ SÁT TÊN LỬA BÌNH TÂN, 4 TẦNG BTCT, HẺM XE HƠI, 4X10.1, NHỈNH 4 TỶ",40.0,,,09/02/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,4.2,https://batdongsan.vn/nha-sat-ten-lua-binh-tan-4-tang-btct-hem-xe-hoi-4x101-nhinh-4-ty-r277119
